series,team,name,pts,fgm,fga,pm2,pa2,pm3,pa3,mj_bonus,oreb,dreb,reb,ast,stl,dfl,blk,to,plus_minus,games,wins,totgames,efg,gamescore,tfga,tto,usg
2,DK,종우,12,6,10,6,10,0,0,0,1,4,5,3,1,0,0,3,17,5,3,8,.60000002,9.3999996,124,44,.12380952
2,DK,지용,0,0,2,0,2,0,0,0,1,11,12,4,1,0,1,2,12,3,2,8,0,5.0999999,124,44,.063492067
2,DK,토마스리,4,2,9,2,6,0,3,0,5,6,11,3,5,0,1,9,38,5,5,8,.22222222,2.5999999,124,44,.17142858
2,JJ,민재,0,0,6,0,4,0,2,0,0,2,2,0,2,0,0,0,-28,2,0,8,0,-1.6,129,34,.14723927
2,JJ,상백,0,0,4,0,4,0,0,0,1,1,2,0,0,0,0,4,-29,4,0,8,0,-5.8000002,129,34,.098159507
2,JJ,승호,9,4,17,3,6,1,11,0,0,4,4,4,1,0,0,2,-33,5,0,8,.2647059,1.7,129,34,.18650307
2,JJ,재성,11,5,23,4,16,1,7,0,1,0,1,8,11,1,0,7,-10,4,2,8,.23913044,7.1999998,129,34,.36809817
2,JJ,정종,4,2,5,2,5,0,0,0,5,4,9,1,4,0,0,1,-10,4,2,8,.40000001,9.6999998,129,34,.073619634
2,JJ,제임스,21,10,20,9,17,1,3,0,1,8,9,4,3,0,2,4,-7,5,2,8,.52499998,17.299999,129,34,.23558283
2,JJ,제프,18,8,22,6,15,2,7,0,5,15,20,4,5,1,1,8,-9,5,2,8,.40909091,14.3,129,34,.29447854
2,JJ,태훈,2,1,5,1,5,0,0,0,0,5,5,0,0,0,0,1,-29,4,0,8,.2,-.60000002,129,34,.073619634
2,JJ,토마스초,6,2,14,0,0,2,14,0,3,3,6,3,3,1,0,3,-10,4,2,8,.21428572,2.0999999,129,34,.20858896
2,JJ,현빈,7,3,13,2,5,1,8,0,3,7,10,0,4,0,0,4,-30,3,0,8,.26923078,3.3,129,34,.27811861
